Ind1,Ind2,R,LnL(R),,U,HS,FS,PO
F35_KNP,F16_KNP,U,-37.51,,-,0.14,2.21,0.93
F35_KNP,F17_KNP,U,-49.48,,-,2.79,7.79,9999
F35_KNP,F18_KNP,U,-48.05,,-,0.9,4.25,2.89
F35_KNP,F19_KNP,U,-43.78,,-,1.04,3.59,9999
F35_KNP,F20_KNP,HS,-44.43,,0.07,-,2.6,9999
F35_KNP,F21_KNP,U,-43.94,,-,1.88,4.94,9999
F35_KNP,F22_KNP,U,-46.2,,-,0.75,2.86,9999
F35_KNP,F23_KNP,HS,-41,,1.05,-,1.44,0.41
F35_KNP,F24_KNP,U,-51.52,,-,1.5,4.56,9999
F35_KNP,F25_KNP,U,-39.37,,-,0.39,1.36,9999
F35_KNP,F26_KNP,U,-51.17,,-,0.09,3.64,9999
F35_KNP,F27_KNP,U,-43.17,,-,0.57,2.48,9999
F35_KNP,F28_KNP,HS,-39.6,,0.76,-,1.21,9999
F35_KNP,F29_KNP,U,-40.19,,-,0.98,2.91,9999
F35_KNP,F30_KNP,U,-49.39,,-,1.17,4.62,9999
F35_KNP,F31_KNP,U,-48.87,,-,1.65,4.66,9999
F35_KNP,F32_KNP,U,-43.09,,-,1.76,5.42,9999
F35_KNP,F33_KNP,HS,-51.43,,0.77,-,3.73,0.3
F35_KNP,F34_KNP,U,-49.03,,-,1.71,5.66,9999
F36_KNP,F13_KNP,U,-41.58,,-,2.49,6.66,9999
F36_KNP,F14_KNP,U,-40.06,,-,1.28,4.57,9999
F36_KNP,F15_KNP,U,-44.33,,-,1.04,3.3,9999
F36_KNP,F16_KNP,U,-35.56,,-,0.2,1.92,9999
F36_KNP,F17_KNP,U,-47.53,,-,2.86,5.81,9999
F36_KNP,F18_KNP,U,-46.1,,-,1.55,3.96,9999
F36_KNP,F19_KNP,U,-41.83,,-,1.9,5.57,9999
F36_KNP,F20_KNP,PO,-40.41,,2.14,0.35,0.9,-
F36_KNP,F21_KNP,U,-41.99,,-,0.03,1.67,9999
F36_KNP,F22_KNP,U,-44.26,,-,0.43,2.88,9999
F36_KNP,F23_KNP,U,-40.09,,-,1.39,4.21,9999
F36_KNP,F24_KNP,HS,-48.88,,0.69,-,3.11,9999
F36_KNP,F25_KNP,PO,-34.17,,3.25,1.29,1.12,-
