Ind1,Ind2,R,slim_days1,x1,y1,slim_days2,x2,y2
M23_KNP,M46_KNP,PO,274,23.3495413926612,43.751601766981956,194,31.15005038820601,36.576379721388456
M25_KNP,F17_KNP,PO,67,13.711982410876939,41.820167647533694,134,33.53580503516839,27.082324738014663
M25_KNP,F23_KNP,PO,67,13.711982410876939,41.820167647533694,152,18.572470899093783,30.71534846565453
M25_KNP,F28_KNP,PO,67,13.711982410876939,41.820167647533694,194,31.77475885221298,35.566176711535704
M25_KNP,F41_KNP,PO,67,13.711982410876939,41.820167647533694,174,29.292609707354295,44.27801946445438
M25_KNP,M24_KNP,PO,67,13.711982410876939,41.820167647533694,176,29.472422199900027,44.150122197963036
M26_KNP,M56_KNP,PO,119,7.970970275062577,17.894110932861683,240,9.7208951709711,21.85892619409346
M26_KNP,M56_KNP,PO,241,14.310737868388964,25.779255449589115,240,9.7208951709711,21.85892619409346
M28_KNP,F41_KNP,PO,285,25.036438988532556,49.50512513844859,174,29.292609707354295,44.27801946445438
M29_KNP,F25_KNP,PO,62,14.314446076310885,31.825645099628552,152,18.644766494456302,30.707934205508515
M29_KNP,M39_KNP,PO,62,14.314446076310885,31.825645099628552,126,20.346493585296464,28.730160459680132
M30_KNP,M56_KNP,PO,159,21.3030199239384,5.169259671687094,240,9.7208951709711,21.85892619409346
M32_KNP,F41_KNP,PO,8,16.596390921772347,42.52452947916562,174,29.292609707354295,44.27801946445438
M32_KNP,F41_KNP,PO,132,37.243272205507225,29.52534781221329,174,29.292609707354295,44.27801946445438
M32_KNP,M33_KNP,PO,8,16.596390921772347,42.52452947916562,255,9.300096989804022,7.814323503557291
M32_KNP,M33_KNP,PO,132,37.243272205507225,29.52534781221329,255,9.300096989804022,7.814323503557291
M60_KNP,F46_KNP,PO,263,17.096898889666534,48.00742968614253,287,21.851724584660932,52.25769674337107
M64_KNP,M37_KNP,PO,3,14.659240454193522,41.24370319360814,136,5.915180511014424,14.657754015558888
M64_KNP,M37_KNP,PO,175,28.384281173780323,44.237240700006275,136,5.915180511014424,14.657754015558888
M64_KNP,M73_KNP,PO,3,14.659240454193522,41.24370319360814,57,9.188869660218847,21.977555913439826
